	Locustag	Gene	Description	FeatureType	1276	1968	1970	983
0	DN756_00005	dnaA	chromosomal replication initiator protein DnaA	CDS	488.50171793906	584.609075333278	502.31997626667066	682.956332522309
1	DN756_00010		DNA polymerase III subunit beta	CDS	305.1373552676353	350.8461051592963	285.8689849648667	384.38949629617497
2	DN756_00020	recF	DNA replication/repair protein RecF	CDS	201.812985261516	264.7530770234673	179.58702420420767	271.778980707976
3	DN756_00025	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	CDS	1134.3202041379434	1398.4908207810768	1205.3470088877032	1283.5819466882233
4	DN756_00030		sugar-phosphatase	CDS	23.00426715621906	23.002127438833	22.73159995800023	25.790685372001267
5	DN756_00035		hypothetical protein	CDS	0.7308889817168264	0.7040428721645542	0.8902564709092037	0.5986437896099096
6	DN756_00040		ornithine cyclodeaminase family protein	CDS	47.09497818079263	52.629031315790904	62.11243974163127	51.01725417715276
7	DN756_00045		threonine/serine dehydratase	CDS	45.26286291863257	46.7418695741884	53.6510773367882	49.333957406409006
8	DN756_00050		DUF3748 domain-containing protein	CDS	67.60746368096473	74.01652233229895	78.34117527999108	67.51233124610461
9	DN756_00055		YceK/YidQ family lipoprotein	CDS	41.912772586940804	12.51247187349221	19.2888667539191	14.6416060757242
10	DN756_00060		heat shock protein IbpA	CDS	55.004625397043036	40.61487312949137	58.31664298478694	35.8936573275813
11	DN756_00065	ibpB	heat shock chaperone IbpB	CDS	107.15893146868302	100.34794108764338	129.17159204100201	97.54969141150353
12	DN756_00070		putative transporter	CDS	59.70696420538343	117.2927679677661	59.10504943694207	109.1553730736404
13	DN756_00075		valine--pyruvate transaminase	CDS	31.2333809295021	29.378983221589866	36.4243314910406	31.4394868109376
14	DN756_00095		alpha-amylase	CDS	203.45886105944803	187.613211438045	108.28195201874541	295.374681077141
15	DN756_00100		bifunctional glyoxylate/hydroxypyruvate reductase B	CDS	129.910744195563	127.87192335144668	152.90381586237433	124.958820969484
16	DN756_00105		transcriptional regulator	CDS	12.498911439541766	9.995226879033654	13.073975100949866	9.42998331759758
17	DN756_00110		hypothetical protein	CDS	5.687621011072504	4.09890003884515	6.04593713723444	4.584477488226303
18	DN756_00115		OmpA family lipoprotein	CDS	9.462701795437889	10.5560772380141	10.06890905636455	9.399825954788183
19	DN756_00120		N-acetyltransferase	CDS	6.677101501577564	6.027703037996297	7.18522457572974	6.76271031117775
20	DN756_00125	tag	DNA-3-methyladenine glycosylase I	CDS	19.541828947353533	19.807198196721234	17.8997683787312	21.0924693349022
21	DN756_00130		hypothetical protein	CDS	1.7007887603810186	0.6520949971890729	1.5892369570507665	1.0091086656177797
22	DN756_00135	glyQ	glycine--tRNA ligase subunit alpha	CDS	322.678750310558	403.155181108692	323.538567027091	416.7930886821737
23	DN756_00140		glycine--tRNA ligase subunit beta	CDS	409.7515855114446	556.5149456728794	351.542022203371	521.3338860571994
