	Locustag	Gene	Description	 	1276_26C	1968_26C	1970_26C	983_26C	  	1276_37C	1968_37C	1970_37C	983_37C
0	DN756_00005	dnaA	chromosomal replication initiator protein DnaA		386.867149847413	385.2160158279876	400.2915463113723	381.10265428199097		488.50171793906	584.609075333278	502.31997626667066	682.956332522309
1	DN756_00010		DNA polymerase III subunit beta		279.07974774407967	299.972151926296	309.7732280271883	274.55968434074435		305.1373552676353	350.8461051592963	285.8689849648667	384.38949629617497
2	DN756_00020	recF	DNA replication/repair protein RecF		228.15977327098133	225.425668175636	249.1981748896557	224.9062331770237		201.812985261516	264.7530770234673	179.5870242042077	271.778980707976
3	DN756_00025	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B		1343.29250469946	1416.4911590712234	1472.0987625041537	1332.3754691694132		1134.3202041379434	1398.4908207810768	1205.3470088877032	1283.5819466882233
4	DN756_00030		sugar-phosphatase		29.18398553695513	31.633854131249564	33.30197400346787	27.9231622194228		23.00426715621906	23.002127438833	22.73159995800023	25.790685372001267
5	DN756_00035		hypothetical protein		0.7079665985675194	0.4617180419882207	0.580708229369272	0.8698024335638913		0.7308889817168264	0.7040428721645542	0.8902564709092037	0.5986437896099096
6	DN756_00040		ornithine cyclodeaminase family protein		70.16001357816833	78.64368958456076	75.59368912686351	74.91213624620251		47.09497818079263	52.6290313157909	62.11243974163127	51.01725417715276
7	DN756_00045		threonine/serine dehydratase		73.62768761466997	77.9396342135497	74.18948109626426	80.7360495232863		45.26286291863257	46.7418695741884	53.6510773367882	49.333957406409006
8	DN756_00050		DUF3748 domain-containing protein		84.73034147308302	87.71578356098509	81.68148710196313	93.58471753432816		67.60746368096473	74.01652233229895	78.34117527999108	67.51233124610461
9	DN756_00055		YceK/YidQ family lipoprotein		9.157489935457589	9.234616914153143	7.598179043241959	8.799756100247093		41.9127725869408	12.51247187349221	19.2888667539191	14.6416060757242
10	DN756_00060		heat shock protein IbpA		110.10486473458168	88.2827826538825	68.38527209582897	207.836115814916		55.00462539704304	40.61487312949137	58.31664298478694	35.8936573275813
11	DN756_00065	ibpB	heat shock chaperone IbpB		191.99846033074064	133.22934809451098	111.50979966150668	356.9035532402553		107.15893146868302	100.34794108764338	129.171592041002	97.54969141150352
12	DN756_00070		putative transporter		137.507322612163	131.20637060937	117.65342288475668	197.83390402823235		59.70696420538343	117.2927679677661	59.10504943694207	109.1553730736404
13	DN756_00075		valine--pyruvate transaminase		26.89507212008677	27.891533907901664	35.78078330267223	22.02092965185717		31.2333809295021	29.378983221589863	36.4243314910406	31.4394868109376
14	DN756_00095		alpha-amylase		170.33034949981467	119.825118740446	137.37088625888765	234.2514465879393		203.45886105944803	187.613211438045	108.2819520187454	295.374681077141
15	DN756_00100		bifunctional glyoxylate/hydroxypyruvate reductase B		184.20974199591168	192.626930967478	191.774490452926	184.43008037485532		129.910744195563	127.87192335144668	152.90381586237433	124.958820969484
16	DN756_00105		transcriptional regulator		14.7487773700267	14.290108069239633	14.470595878457166	16.429094205134366		12.498911439541766	9.995226879033654	13.073975100949866	9.42998331759758
17	DN756_00110		hypothetical protein		5.068863910883503	3.735319167858073	4.993944705936717	4.387900513683427		5.687621011072504	4.09890003884515	6.04593713723444	4.584477488226303
18	DN756_00115		OmpA family lipoprotein		17.508180222039098	15.993766310637032	17.780974597036234	13.121343420797032		9.462701795437887	10.5560772380141	10.06890905636455	9.399825954788184
19	DN756_00120		N-acetyltransferase		5.6045974448487605	6.3831846875777565	5.298061239117843	5.532661958153084		6.677101501577564	6.027703037996297	7.18522457572974	6.76271031117775
20	DN756_00125	tag	DNA-3-methyladenine glycosylase I		25.16632273171833	23.67765571392233	23.43088816400813	24.709593786329567		19.541828947353533	19.807198196721234	17.8997683787312	21.0924693349022
21	DN756_00130		hypothetical protein		1.6985367555186368	1.5942597051377867	1.2238877177235812	1.6891780013174966		1.7007887603810186	0.6520949971890729	1.5892369570507665	1.0091086656177797
22	DN756_00135	glyQ	glycine--tRNA ligase subunit alpha		300.94349303578497	332.8767442764506	361.4534538100147	278.0886740856883		322.678750310558	403.155181108692	323.538567027091	416.7930886821737
23	DN756_00140		glycine--tRNA ligase subunit beta		491.241233431935	549.1763771741868	631.8318878218987	455.461992758793		409.7515855114446	556.5149456728794	351.542022203371	521.3338860571994
24	DN756_00145		hypothetical protein		15.501358919812134	15.729647766928132	18.091432300214265	13.045973378264064		13.792920658812866	18.380012881172863	10.522903493873336	13.112935055943868
25	DN756_00150		DUF3053 domain-containing protein		183.08806994349035	201.52310124132495	193.49239557287527	175.25353938674235		139.2630721891173	190.680269439622	163.545403898436	156.24635203506168
26	DN756_00155		PTS mannitol transporter subunit IICBA		75.7555486278942	61.62234687704123	54.66354000663896	101.1044585654716		120.183759249469	140.91776204694466	131.86857610693866	129.361099447639
27	DN756_00160		mannitol-1-phosphate 5-dehydrogenase		78.03724328470423	68.97369343418097	64.1050017080474	93.81459334616324		114.445076909432	131.479117608625	111.94150023439006	125.72157125690632
28	DN756_00165		MltR family transcriptional regulator		22.54967936150617	19.702713481470933	19.23771584630953	21.632873218199432		24.836532113004864	25.402423407456297	18.710204549278632	25.18821794858387
29	DN756_00170		YibL family ribosome-associated protein		24.476373970012165	23.962066494462203	24.924712712196268	21.10231174556257		33.95703357631486	21.9164437775404	24.75792302802567	24.2641553540289
30	DN756_00175		hypothetical protein		17.469551917307566	19.130226137511936	16.964914896943668	18.335310421072837		12.7019260484252	11.4284918995945	18.324776963750367	11.167656927825192
31	DN756_00180		hypothetical protein		0.7934091158888824	1.0641932925967408	1.1217344044623845	0.6862220937733183		1.1370714278841498	0.9105328488135666	1.378659267684114	0.4687073666948493
32	DN756_00185		HAMP domain-containing protein		2.3564998261215666	3.043274881936393	2.890614438537463	2.92761797587889		2.8666258871247066	2.0474121757745265	3.590420170954623	2.25339132188491
33	DN756_00190		superoxide dismutase [Mn]		2235.385768307693	2120.9412428346864	2098.6714846601567	2043.76641300884		451.3526615724154	505.04435537097	521.3485540038273	344.1107396649474
34	DN756_00195		sulfurtransferase FdhD		73.55967617712291	68.46629661605186	64.35763249622543	73.95423176886243		68.42298881662417	64.19822859150581	68.03543537670232	63.97901278092346
35	DN756_00200		sulfate ABC transporter substrate-binding protein		1977.1384413628568	1974.5041377931464	1766.4123716532467	2226.6642136337964		2629.7781943610767	2378.5140301481265	2382.25029888047	2424.8254910778064
36	DN756_00205	fdnG	formate dehydrogenase-N subunit alpha		4498.105762221784	4645.469675362807	4458.31154842106	4980.83616689134		6590.192243695729	6964.116980719787	6161.401533904994	7374.407051122626
37	DN756_00210	fdxH	formate dehydrogenase subunit beta		697.2725995150344	706.5722151425334	689.7031673817319	747.1998271208986		928.7045790145952	948.756610891255	888.9132187285087	1055.589417350035
38	DN756_00215		formate dehydrogenase cytochrome b556 subunit		545.289622824343	534.0362912034783	514.5221571175047	591.0317153093224		704.4985294770404	719.4817253628111	649.4682692335547	831.313379599343
