	Locustag	Gene	Description	FeatureType	pil	pcnB	pil-pcnB	WT	cluster
0	DN756_00005	dnaA	chromosomal replication initiator protein DnaA	CDS	1.1135217037823795	1.1307605681560433	1.1382707723035346	1.1149212104631727	0
1	DN756_00010		DNA polymerase III subunit beta	CDS	0.9542503347023623	1.0085124047987555	1.0128861746439435	0.9560404072048154	0
2	DN756_00020	recF	DNA replication/repair protein RecF	CDS	0.8560046544154405	0.8688716285027488	0.9064597656320191	0.8593818481424499	0
3	DN756_00025	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	CDS	1.7205960144208028	1.76720266070845	1.7752146640626068	1.7213959917186734	0
4	DN756_00030		sugar-phosphatase	CDS	-0.1468920344284164	-0.09095381646569439	-0.07793823755154379	-0.1514791493807913	2
5	DN756_00035		hypothetical protein	CDS	-1.9605975408137184	-2.156992638263943	-2.058404371856274	-1.8323230134277804	1
6	DN756_00040		ornithine cyclodeaminase family protein	CDS	0.2808886236305174	0.3541674864789996	0.32301254742800345	0.3266939523721614	2
7	DN756_00045		threonine/serine dehydratase	CDS	0.30441601874902496	0.3497720955598826	0.31384152934580145	0.36297113087649757	2
8	DN756_00050		DUF3748 domain-containing protein	CDS	0.37291323708904095	0.4075285333398307	0.36089634313941243	0.434528962270191	2
9	DN756_00055		YceK/YidQ family lipoprotein	CDS	-0.712147185291333	-0.6927592890796421	-0.800699781719972	-0.7109935500875306	1
10	DN756_00060		heat shock protein IbpA	CDS	0.5006680305794969	0.41067778965024215	0.27399624808294526	0.8211352878669493	2
11	DN756_00065	ibpB	heat shock chaperone IbpB	CDS	0.7718496020982409	0.611819237184184	0.5131489453963649	1.083133825363741	0
12	DN756_00070		putative transporter	CDS	0.6090539936180438	0.604340768555459	0.5393802639893367	0.7972367667578008	0
13	DN756_00075		valine--pyruvate transaminase	CDS	-0.1867250422860625	-0.15249206840873192	-0.042822941519677374	-0.2665396220523288	2
14	DN756_00095		alpha-amylase	CDS	0.7134500102369262	0.5599908387344418	0.6151635574120046	0.8791082199623438	0
15	DN756_00100		bifunctional glyoxylate/hydroxypyruvate reductase B	CDS	0.7516532514973951	0.7920200256141231	0.7783480529000881	0.7632426882767562	0
16	DN756_00105		transcriptional regulator	CDS	-0.4797203466595077	-0.4793588118568777	-0.4856102850905327	-0.40848062781833533	2
17	DN756_00110		hypothetical protein	CDS	-1.0005935771523458	-1.1351563675000553	-1.005970619971154	-1.0481721013768714	1
18	DN756_00115		OmpA family lipoprotein	CDS	-0.39607774193553436	-0.42430808078227583	-0.3848486099930499	-0.5174118814428891	2
19	DN756_00120		N-acetyltransferase	CDS	-0.9515951925633267	-0.8732576092638197	-0.9770569751880223	-0.9358468516468841	1
20	DN756_00125	tag	DNA-3-methyladenine glycosylase I	CDS	-0.2191253429792598	-0.2325481537680948	-0.24989043269749167	-0.21072144069466	2
21	DN756_00130		hypothetical protein	CDS	-1.533808311590028	-1.5513055527432875	-1.6937537765631991	-1.5107185230570896	1
22	DN756_00135	glyQ	glycine--tRNA ligase subunit alpha	CDS	0.9910342611940242	1.0593847288236833	1.088352284811192	0.9622286490810513	0
23	DN756_00140		glycine--tRNA ligase subunit beta	CDS	1.230008194533552	1.3040854333846499	1.361515277820242	1.2012873625710316	0
24	DN756_00145		hypothetical protein	CDS	-0.4554492746610847	-0.4324469164642584	-0.3763823976238961	-0.5202031436438557	2
25	DN756_00150		DUF3053 domain-containing protein	CDS	0.7486745841154147	0.8140872929049205	0.7827099635139557	0.738513351531399	0
26	DN756_00155		PTS mannitol transporter subunit IICBA	CDS	0.31831054906799544	0.23495545584048533	0.16445494582040676	0.47197768831532205	2
27	DN756_00160		mannitol-1-phosphate 5-dehydrogenase	CDS	0.33278248107543884	0.29003996685792405	0.2423825895648313	0.43571769814563366	2
28	DN756_00165		MltR family transcriptional regulator	CDS	-0.2726667144993114	-0.32237181381944113	-0.3463343033886256	-0.27515440045196254	2
29	DN756_00170		YibL family ribosome-associated protein	CDS	-0.23268231005579945	-0.22671215401298656	-0.2196611799050807	-0.2871862474920615	2
30	DN756_00175		hypothetical protein	CDS	-0.3971549194507048	-0.33678401645450756	-0.4078278024727681	-0.3552902535575526	2
31	DN756_00180		hypothetical protein	CDS	-1.905029221988955	-1.748862122359996	-1.7363828207660505	-1.9471904395674353	1
32	DN756_00185		HAMP domain-containing protein	CDS	-1.3741338828451333	-1.235304593448918	-1.2733948618597477	-1.2442470140918347	1
33	DN756_00190		superoxide dismutase [Mn]	CDS	1.9689712887552795	1.9645073778268907	1.9486605470168432	1.9286973221200034	0
34	DN756_00195		sulfurtransferase FdhD	CDS	0.3039653218601201	0.28643110823479595	0.24430632969883131	0.3204581625345468	2
35	DN756_00200		sulfate ABC transporter substrate-binding protein	CDS	1.9091009826275314	1.9295395663601713	1.8643605411106559	1.9702273700880562	0
36	DN756_00205	fdnG	formate dehydrogenase-N subunit alpha	CDS	2.309984303320673	2.3477178301509576	2.3171879825728436	2.3603274326696537	0
37	DN756_00210	fdxH	formate dehydrogenase subunit beta	CDS	1.4008169938727917	1.4272579259870375	1.4043798632668334	1.4411446686126799	0
38	DN756_00215		formate dehydrogenase cytochrome b556 subunit	CDS	1.2809140448408034	1.290421486490149	1.2610595819902157	1.3275379169249757	0
39	DN756_00220	fdhE	formate dehydrogenase accessory protein FdhE	CDS	1.2849826663210158	1.3178317289020713	1.2966829816016319	1.312591182584285	0
40	DN756_00225		L-selenocysteinyl-tRNA(Sec) synthase	CDS	1.2013288210667827	1.247272645703017	1.2374638550271773	1.201677416694647	0
41	DN756_00230	selB	selenocysteinyl-tRNA-specific translation elongation factor SelB	CDS	1.1244891060235829	1.1806187906693866	1.2140914446461128	1.1411591231074338	0
42	DN756_00235		Tn3 family transposase	CDS	-1.7764036516744883	-1.6356329001232481	-1.6397918215187555	-1.5324385770025841	1
43	DN756_00240		hypothetical protein	CDS	-0.00976638771326384	-0.05352925940381018	0.002575176125195223	-0.09288119833968347	2
44	DN756_00245		DUF4225 domain-containing protein	CDS	-1.7212865058293036	-1.6887492391745407	-1.6023108571714517	-1.6230520012429046	1
45	DN756_00255		hypothetical protein	CDS	-1.4016398869377351	-1.3389860528797641	-1.2640896316438568	-1.3839306628913919	1
46	DN756_00260	mdfA	MdfA family multidrug efflux MFS transporter	CDS	0.18658291022078816	0.2633813598983459	0.3431241497079543	0.10114048246546488	2
47	DN756_00265		transposase	CDS	-0.6436502801058025	-0.6423985178434984	-0.6969199145756851	-0.5970750064140251	2
48	DN756_00270		hypothetical protein	CDS	-1.5872580739307096	-1.7417237094685356	-1.676303352796902	-1.8117433864423644	1
49	DN756_00275		acyltransferase	CDS	-0.09297723215722359	-0.04316990485367633	-0.10993530542043263	-0.0397456367638137	2
50	DN756_00280		fimbrial protein	CDS	-1.7332651428881578	-1.688511060275129	-1.832139374134777	-1.5576695550838542	1
51	DN756_00285		fimbrial biogenesis outer membrane usher protein	CDS	-0.9093684414829075	-0.9588302977971651	-0.8956576242507674	-0.8960896955778039	1
52	DN756_00290		molecular chaperone	CDS	-1.2609579339845371	-1.3812141592771254	-1.371152155683594	-1.3368139281813267	1
53	DN756_00295		fimbrial protein	CDS	-1.2698141077481166	-1.2054564689521305	-1.122572529544074	-1.2615391296314862	1
54	DN756_00300	xylB	xylulokinase	CDS	0.9298725618608225	0.9603511882968175	0.9040304679598322	1.0040786740708119	0
55	DN756_00305	xylA	xylose isomerase	CDS	0.24764352228395883	0.2753550567734688	0.2180521984534704	0.29176270485629485	2
56	DN756_00310		D-xylose ABC transporter substrate-binding protein	CDS	-0.49366421699864743	-0.5405853899984521	-0.5186021512474861	-0.3504273405718341	2
57	DN756_00315		xylose ABC transporter ATP-binding protein	CDS	-0.4826298260350303	-0.49617454411314843	-0.5774548769833083	-0.43289058945414616	2
58	DN756_00320		sugar ABC transporter permease	CDS	-0.5645793100322566	-0.5648235963244085	-0.5570186881677103	-0.5082385776030075	2
59	DN756_00325		helix-turn-helix domain-containing protein	CDS	-0.14532641233216942	-0.1364712214153938	-0.24456538056039323	-0.02114762798357758	2
60	DN756_00330		DUF4102 domain-containing protein	CDS	0.31408419951093075	0.3451580978444044	0.2721654944647624	0.35476682261782744	2
61	DN756_00335		SAM-dependent methyltransferase	CDS	0.5606688374595873	0.5825733745372974	0.5870421516794092	0.5157322747723999	0
62	DN756_00340		hypothetical protein	CDS	-0.7523966010766551	-0.6387015609210718	-0.5931068099295027	-0.6641304035258502	2
63	DN756_00345		DUF262 domain-containing protein	CDS	0.22997102449510878	0.24965335157422935	0.24076311699739894	0.20360989886829034	2
64	DN756_00350		SAM-dependent DNA methyltransferase	CDS	0.23188980225309672	0.1754131262227401	0.11056750256119757	0.18443627705922946	2
65	DN756_00355		IS3 family transposase	CDS	-0.40728223511100725	-0.37943836636083406	-0.46684884068856747	-0.40569225546826687	2
66	DN756_00360		ATP-binding cassette domain-containing protein	CDS	-1.0417626092989043	-1.167385300280614	-1.055577022819935	-1.190797594588889	1
67	DN756_00365		enterobactin ABC transporter permease	CDS	-0.956542620116239	-1.01982622465612	-1.0021097684810834	-0.95360586290416	1
68	DN756_00370		ABC transporter permease	CDS	-0.8970326703213046	-0.9615950338481329	-1.0379233618390422	-1.0492360852377	1
69	DN756_00375		siderophore ABC transporter substrate-binding protein	CDS	-0.266406900916839	-0.385953109582901	-0.330592351686543	-0.27647416060410435	2
70	DN756_00380		ATP-grasp domain-containing protein	CDS	-0.6871225332854867	-0.5915666184540332	-0.7092041891941945	-0.6719736900364605	1
71	DN756_00385		EamA/RhaT family transporter	CDS	-1.42827972444898	-1.5036570235612674	-1.5904424926075362	-1.3522188086876772	1
72	DN756_00400	hutU	urocanate hydratase	CDS	1.3004261496152376	1.335567850796031	1.294129077468246	1.3926372211325853	0
73	DN756_00405	hutH	histidine ammonia-lyase	CDS	1.3096238963689686	1.3493605855509787	1.309998582095819	1.386854628081022	0
74	DN756_00410		amino acid permease	CDS	0.2946057661792162	0.3493792555146917	0.31096921466532024	0.35122580732963443	2
75	DN756_00415		alpha/beta hydrolase	CDS	0.5982490644841093	0.669014698106444	0.6638598105280582	0.633140869358158	0
76	DN756_00420		kdo(2)-lipid A phosphoethanolamine 7''-transferase	CDS	0.3337225068469785	0.40179824546603327	0.3971637090612448	0.39764642606811196	2
77	DN756_00425	uhpA	transcriptional regulator UhpA	CDS	0.31927659621351395	0.36100903320031114	0.26390984589273314	0.4174026412424403	2
78	DN756_00430	uhpB	signal transduction histidine-protein kinase/phosphatase UhpB	CDS	0.6064304550605953	0.6341722171571608	0.5367106265526769	0.6587037609078727	0
79	DN756_00435		MFS transporter family glucose-6-phosphate receptor UhpC	CDS	0.23731728907789948	0.29397947598587976	0.19097111109870027	0.3072796068653899	2
80	DN756_00445		filamentous hemagglutinin N-terminal domain-containing protein	CDS	-1.5391768519469524	-1.5062308808950182	-1.5913852765580276	-1.4924944149581123	1
81	DN756_00450		ShlB/FhaC/HecB family hemolysin secretion/activation protein	CDS	-0.8159883430770053	-0.8652444814734229	-0.9830225048261751	-0.763666681111424	1
82	DN756_00455		hypothetical protein	CDS	-1.7532945374254132	-1.541574767414365	-1.7579115330809088	-1.6004772525289908	1
83	DN756_00460		ABC transporter substrate-binding protein	CDS	0.3918039592016559	0.4263796373418959	0.42403617439664576	0.43427067578476986	2
84	DN756_00465	dppB	dipeptide ABC transporter permease DppB	CDS	-0.6176972319247772	-0.4840319982295465	-0.4728543369388238	-0.557826475494841	2
85	DN756_00470	dppC	dipeptide ABC transporter permease DppC	CDS	-0.37211931394491354	-0.32409151330414177	-0.3240422024617214	-0.33608447669702335	2
86	DN756_00475		dipeptide ABC transporter ATP-binding protein	CDS	-0.19655795678469903	-0.0795179642516388	-0.04047134652353374	-0.13718769617818655	2
87	DN756_00480		ABC transporter ATP-binding protein	CDS	-0.029808124945741882	-0.017098661520679685	0.022153252723773283	-0.011528595633613524	2
88	DN756_00485		cellulase	CDS	-0.10671688417755831	-0.1215869912298878	-0.15147211012531758	-0.13541489891830263	2
89	DN756_00490	hmsP	biofilm formation regulator HmsP	CDS	0.7647632035740528	0.8030567869333071	0.7428591564486624	0.8310183492608438	0
90	DN756_00495		porin	CDS	-1.1200935158661647	-0.9082702923815551	-0.9598216526812637	-0.9434807628102104	1
91	DN756_00500		pectate lyase	CDS	0.29421869995269323	0.4583133616418241	0.3762638461913432	0.3915061846219353	2
92	DN756_00505		discoidin domain-containing protein	CDS	-0.29737726228222416	-0.14193640632620871	-0.1950501998946641	-0.25914987473157347	2
93	DN756_00510		dicarboxylate/amino acid:cation symporter	CDS	0.6987807926676749	0.5119136221382139	0.5005265471210516	0.6259981919419604	0
94	DN756_00515		insulinase family protein	CDS	1.1273076043124528	1.1482281124799258	1.1031318638336702	1.1659211546737414	0
95	DN756_00520		sugar kinase	CDS	0.793564812534334	0.8592676844281248	0.7543081649323143	0.8593925025345894	0
96	DN756_00525		4-oxalocrotonate tautomerase family protein	CDS	-0.9152498630504917	-0.8459970277194566	-0.9892849624701678	-0.8318015182763759	1
97	DN756_00530		cyclic-guanylate-specific phosphodiesterase	CDS	-0.8098394596809667	-0.8445643015097363	-0.8167062077366307	-0.685828401190589	1
98	DN756_00535		AsmA family protein	CDS	0.4126069329160441	0.4320053338136472	0.3715392926885177	0.47660614660313066	2
99	DN756_00540		CDP-diacylglycerol diphosphatase	CDS	-0.08128178842275606	-0.05034536575135894	-0.0334016376776418	-0.20238574872086032	2
100	DN756_00545	yhjD	inner membrane protein YhjD	CDS	-0.008757319009796618	0.02157309613477704	0.03153426333774582	-0.05981258252578774	2
101	DN756_00550		autotransporter outer membrane beta-barrel domain-containing protein	CDS	-1.1387228026770722	-1.005999697981201	-1.024623171278697	-0.9844819533776314	1
102	DN756_00555		DUF3289 family protein	CDS	-1.5228152207828483	-1.2497109596764122	-1.2658038259984252	-1.3302672167022236	1
103	DN756_00560		DUF943 family protein	CDS	-1.8521913767175602	-1.759831555221969	-2.0426591202616393	-1.8177112802555901	1
104	DN756_00570		glycerate kinase	CDS	-0.2422032825530267	-0.2938890559965592	-0.3127159442653027	-0.093489965209702	2
105	DN756_00575		GntP family permease	CDS	-0.4508083113343048	-0.5201399513523867	-0.6608537104410438	-0.21799926205960307	2
106	DN756_00580		hypothetical protein	CDS	-0.8044615293963175	-0.7087710087211402	-0.7972279490130609	-0.7709619911497118	1
107	DN756_00585		XRE family transcriptional regulator	CDS	0.005727812395760467	0.03644923417100516	-0.051385416432104744	0.0632007180282525	2
108	DN756_00590		glutathione-disulfide reductase	CDS	1.0995030819008478	1.1398152853226269	1.1474973661684265	1.0853272828903726	0
109	DN756_00595	rlmJ	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	CDS	0.5121716442322223	0.5143569472209059	0.49158196990812386	0.5028572378203615	2
110	DN756_00600		oligopeptidase A	CDS	1.2620796889617663	1.320818301585204	1.3072846553130102	1.3766801836065121	0
111	DN756_00605	rsmJ	16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ	CDS	0.13836300898105267	0.293968104005388	0.2715732189797674	0.24075446346676818	2
112	DN756_00610		type I secretion C-terminal target domain-containing protein	CDS	-0.5977327717240418	-0.520522518229319	-0.4964207740376685	-0.6438561512398426	2
113	DN756_00615		NADP-specific glutamate dehydrogenase	CDS	1.5645431369801217	1.6857903389791133	1.6528020581482832	1.589234040740911	0
114	DN756_00620		universal stress protein A	CDS	1.9246836749949512	1.8792745562184128	1.8117054737661533	2.042372542830823	0
115	DN756_00625	uspB	universal stress protein UspB	CDS	-0.08739899968094401	-0.28458609429338666	-0.4506549182048955	0.12727513694146234	2
116	DN756_00630		inorganic phosphate transporter	CDS	1.4222206356570561	1.4776933482541232	1.4833031786846507	1.4095611801858487	0
