	Locustag	Gene	Description	FeatureType	pcnB	WT	cluster
0	DN756_00005	dnaA	chromosomal replication initiator protein DnaA	CDS	0.5129025198389393	0.5991867705628022	0
1	DN756_05200		DUF2509 family protein	CDS	0.5134100299910388	0.6398792760377057	0
2	DN756_05195		prepilin-type cleavage/methylation domain-containing protein	CDS	0.5857820598322041	0.6024301950839432	0
3	DN756_05190		prepilin-type cleavage/methylation domain-containing protein	CDS	0.5863901309120383	0.6585223410364718	0
4	DN756_05180		thymidylate synthase	CDS	0.5596261173547036	0.5382939315305901	0
5	DN756_15880		hypothetical protein	CDS	0.49418889111397335	0.6134774311048932	0
6	DN756_15885		MATE family efflux transporter	CDS	0.562929924013445	0.535379073362087	0
7	DN756_05120		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit C	CDS	0.5323040781764856	0.5510374589298225	0
8	DN756_15750		ABC transporter ATP-binding protein	CDS	0.524862954616038	0.5710499650905398	0
9	DN756_05115	galR	HTH-type transcriptional regulator GalR	CDS	0.474986408138932	0.5612511076953834	0
10	DN756_15895		NAD-dependent epimerase/dehydratase family protein	CDS	0.6045237528583386	0.5509074606683602	0
11	DN756_15900	rfbH	lipopolysaccharide biosynthesis protein RfbH	CDS	0.600380290329223	0.5143803723626544	0
12	DN756_15905	rfbG	CDP-glucose 4,6-dehydratase	CDS	0.5853135211528272	0.5553650438111364	0
13	DN756_15910	rfbF	glucose-1-phosphate cytidylyltransferase	CDS	0.5652818758261359	0.579996446421287	0
14	DN756_15915		CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3-dehydrase reductase	CDS	0.5671648794255099	0.5460761700520075	0
15	DN756_15935	recR	recombination protein RecR	CDS	0.5996576149062431	0.4524938740945016	0
16	DN756_05075		transcriptional regulator	CDS	0.4799078841719631	0.5198104229150982	0
17	DN756_15890		glycosyltransferase family 2 protein	CDS	0.5405373397298641	0.5751818775510334	0
18	DN756_15740		5-(carboxyamino)imidazole ribonucleotide synthase	CDS	0.4858404487545586	0.7145927221790416	0
19	DN756_15735	purE	5-(carboxyamino)imidazole ribonucleotide mutase	CDS	0.4762495740246372	0.691479545379359	0
20	DN756_15660		toll/interleukin-1 receptor domain-containing protein	CDS	0.5575029643544259	0.511022154535441	0
21	DN756_05355	rpsB	30S ribosomal protein S2	CDS	0.5455493242294452	0.5342989011044734	0
22	DN756_05350	map	type I methionyl aminopeptidase	CDS	0.5003276387760205	0.566261021044035	0
23	DN756_15425		peptidase P60	CDS	0.8089300863920988	0.2883671614830732	0
24	DN756_15430		phage minor tail protein L	CDS	0.7241213383342757	0.33960892604218706	0
25	DN756_15435		phage tail protein	CDS	0.7713995151158171	0.346736701538308	0
26	DN756_15455		hypothetical protein	CDS	0.8295879602085466	0.32780284496884105	0
27	DN756_15470		hypothetical protein	CDS	0.6913370752568486	0.44016019836455306	0
28	DN756_15475		DinI family protein	CDS	0.6002288464360157	0.5155919804049184	0
29	DN756_15480		DinI family protein	CDS	0.6502118855137686	0.48001274176780867	0
30	DN756_15490		phage tail protein	CDS	0.6059606901111322	0.5161863098461461	0
31	DN756_15555		hypothetical protein	CDS	0.4972196648085244	0.6379630075765408	0
32	DN756_15560		major capsid protein	CDS	0.5844477660041996	0.5343380451534979	0
33	DN756_15615		hypothetical protein	CDS	0.5553515367574091	0.6547391390856333	0
34	DN756_15620		hypothetical protein	CDS	0.5612419197182377	0.6914699442432325	0
35	DN756_05260	tcdA	tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA	CDS	0.5400461816263322	0.5294732326886602	0
36	DN756_15625		hypothetical protein	CDS	0.7176906497893883	0.36189862573623005	0
37	DN756_15630		hypothetical protein	CDS	0.6108761261317128	0.5617378728726894	0
38	DN756_05065		prepilin peptidase	CDS	0.6603871460821163	0.5364267498617887	0
39	DN756_05060		hypothetical protein	CDS	0.7019720679521726	0.6273774832473448	0
40	DN756_05055	gspL	type II secretion system protein GspL	CDS	0.5999671881167025	0.4981847659719622	0
41	DN756_15940		YbaB/EbfC family nucleoid-associated protein	CDS	0.5410266139027028	0.5425246971460108	0
42	DN756_04895		DUF2264 domain-containing protein	CDS	0.5665996409242126	0.5997144593638501	0
43	DN756_04890		tagatose bisphosphate family class II aldolase	CDS	0.5761284498682775	0.5956800932060956	0
44	DN756_04885		DJ-1 family protein	CDS	0.5658698695999445	0.501561201048142	0
45	DN756_16050	amtB	ammonium transporter AmtB	CDS	0.47303113257179624	0.6284814411927715	0
46	DN756_04875		LacI family transcriptional regulator	CDS	0.586442523316544	0.538184502819641	0
47	DN756_04870		MFS transporter	CDS	0.5778578066940382	0.5128981759028105	0
48	DN756_04865		glycoside hydrolase family 31 protein	CDS	0.5098734731999208	0.5707961645210907	0
49	DN756_16055		P-II family nitrogen regulator	CDS	0.4427154152924562	0.6932635335807409	0
50	DN756_16060		SmdB family multidrug efflux ABC transporter permease/ATP-binding protein	CDS	0.5552450258372164	0.535528688537514	0
51	DN756_04850		PTS sugar transporter	CDS	0.5809324578051924	0.4983263687323716	0
52	DN756_04845		beta-galactosidase	CDS	0.5724467620618806	0.7099685544021446	0
53	DN756_04840		galactosidase	CDS	0.5470339026625332	0.704386031243672	0
54	DN756_04835		sugar ABC transporter permease	CDS	0.5154708418343333	0.6707953736812713	0
55	DN756_04830		sugar ABC transporter permease	CDS	0.5315949642566918	0.6793352166782913	0
56	DN756_04825		extracellular solute-binding protein	CDS	0.4693263538553213	0.6842487671710863	0
57	DN756_04820		ABC transporter ATP-binding protein	CDS	0.5227854918318726	0.5705219940371217	0
58	DN756_16100		ComEA family DNA-binding protein	CDS	0.6458607823829826	0.6204958868655164	0
59	DN756_04900		arylsulfatase	CDS	0.5493246613752699	0.6310139500577935	0
60	DN756_05360		elongation factor Ts	CDS	0.552370003156847	0.5230843766382077	0
61	DN756_04905		anaerobic sulfatase maturase	CDS	0.5492693592862459	0.6398891630182618	0
62	DN756_04915	kduD	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD	CDS	0.5047170221810642	0.713480293156024	0
63	DN756_15970	mscK	mechanosensitive channel MscK	CDS	0.5374975301081981	0.5491491352379756	0
64	DN756_15980	acrR	DNA-binding transcriptional repressor AcrR	CDS	0.5471180275989738	0.5307198251238572	0
65	DN756_04990		twin-arginine translocation signal domain-containing protein	CDS	0.5410940115029156	0.6206745752619918	0
66	DN756_15990		multidrug efflux RND transporter permease subunit	CDS	0.5033267914302448	0.6182574411218693	0
67	DN756_04980		hypothetical protein	CDS	0.4096724508844901	0.7327757910657325	0
68	DN756_04975		hypothetical protein	CDS	0.5622042504995572	0.6348179205128281	0
69	DN756_04970		autotransporter outer membrane beta-barrel domain-containing protein	CDS	0.5446744641977522	0.7303750920946932	0
70	DN756_16015		hypothetical protein	CDS	0.6233678136949714	0.4281141811392508	0
71	DN756_04960		sulfatase	CDS	0.5561813908716338	0.6707427708134709	0
72	DN756_04955		DeoR/GlpR transcriptional regulator	CDS	0.6102614453383425	0.5394723110726355	0
