	Locustag	Gene	Description	FeatureType	pil	pcnB	pil-pcnB	WT	cluster
0	DN756_00005	dnaA	chromosomal replication initiator protein DnaA	CDS	0.42858342890718415	0.5129025198389393	0.44070677733788804	0.5991867705628022	0
1	DN756_05200		DUF2509 family protein	CDS	0.3882535270617987	0.5134100299910388	0.41979024753576083	0.6398792760377057	0
2	DN756_05195		prepilin-type cleavage/methylation domain-containing protein	CDS	0.3564889956374562	0.5857820598322041	0.40847623482800055	0.6024301950839432	0
3	DN756_05190		prepilin-type cleavage/methylation domain-containing protein	CDS	0.34197244956635653	0.5863901309120383	0.32488426318058716	0.6585223410364718	0
4	DN756_05180		thymidylate synthase	CDS	0.4204525648793134	0.5596261173547036	0.46933771714858674	0.5382939315305901	0
5	DN756_15880		hypothetical protein	CDS	0.39850253697844196	0.49418889111397335	0.46970044650418197	0.6134774311048932	0
6	DN756_15885		MATE family efflux transporter	CDS	0.4380599676873561	0.562929924013445	0.45230809540171013	0.535379073362087	0
7	DN756_05120		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit C	CDS	0.42816752300434696	0.5323040781764856	0.4792521877437473	0.5510374589298225	0
8	DN756_15750		ABC transporter ATP-binding protein	CDS	0.4521986418571936	0.524862954616038	0.44038302027249604	0.5710499650905398	0
9	DN756_05115	galR	HTH-type transcriptional regulator GalR	CDS	0.5656923231640489	0.474986408138932	0.3733326957383217	0.5612511076953834	0
10	DN756_15895		NAD-dependent epimerase/dehydratase family protein	CDS	0.4204307594591267	0.6045237528583386	0.39279763047990934	0.5509074606683602	0
11	DN756_15900	rfbH	lipopolysaccharide biosynthesis protein RfbH	CDS	0.43121382763605	0.600380290329223	0.43475392392446743	0.5143803723626544	0
12	DN756_15905	rfbG	CDP-glucose 4,6-dehydratase	CDS	0.4255409375385151	0.5853135211528272	0.40974706899156127	0.5553650438111364	0
13	DN756_15910	rfbF	glucose-1-phosphate cytidylyltransferase	CDS	0.40790432487344047	0.5652818758261359	0.42151463171603776	0.579996446421287	0
14	DN756_15915		CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3-dehydrase reductase	CDS	0.4102823992150229	0.5671648794255099	0.46020991834372993	0.5460761700520075	0
15	DN756_15935	recR	recombination protein RecR	CDS	0.4489712780858653	0.5996576149062431	0.4838231394278802	0.4524938740945016	0
16	DN756_05075		transcriptional regulator	CDS	0.6379453774945761	0.4799078841719631	0.30415660813422934	0.5198104229150982	0
17	DN756_15890		glycosyltransferase family 2 protein	CDS	0.41796182835010537	0.5405373397298641	0.4497700547356021	0.5751818775510334	0
18	DN756_15740		5-(carboxyamino)imidazole ribonucleotide synthase	CDS	0.3582833244687638	0.4858404487545586	0.353481766390187	0.7145927221790416	0
19	DN756_15735	purE	5-(carboxyamino)imidazole ribonucleotide mutase	CDS	0.38901424545701585	0.4762495740246372	0.3790914116605852	0.691479545379359	0
20	DN756_15660		toll/interleukin-1 receptor domain-containing protein	CDS	0.4721681509654807	0.5575029643544259	0.4528841347671862	0.511022154535441	0
21	DN756_05355	rpsB	30S ribosomal protein S2	CDS	0.48468423981364334	0.5455493242294452	0.4265932568473375	0.5342989011044734	0
22	DN756_05350	map	type I methionyl aminopeptidase	CDS	0.4660061948382278	0.5003276387760205	0.4602813664438034	0.566261021044035	0
23	DN756_15425		peptidase P60	CDS	0.2891116723520739	0.8089300863920988	0.4229550051928144	0.2883671614830732	0
24	DN756_15430		phage minor tail protein L	CDS	0.2911988327601869	0.7241213383342757	0.524897422855699	0.33960892604218706	0
25	DN756_15435		phage tail protein	CDS	0.3058699175810411	0.7713995151158171	0.43721852820344187	0.346736701538308	0
26	DN756_15455		hypothetical protein	CDS	0.3185572309455653	0.8295879602085466	0.32070298052816776	0.32780284496884105	0
27	DN756_15470		hypothetical protein	CDS	0.3378319295446734	0.6913370752568486	0.4627976183291209	0.44016019836455306	0
28	DN756_15475		DinI family protein	CDS	0.40849870333980376	0.6002288464360157	0.4549934626100943	0.5155919804049184	0
29	DN756_15480		DinI family protein	CDS	0.42927670298614734	0.6502118855137686	0.4031547890705552	0.48001274176780867	0
30	DN756_15490		phage tail protein	CDS	0.4698064341976203	0.6059606901111322	0.3816349695114117	0.5161863098461461	0
31	DN756_15555		hypothetical protein	CDS	0.4758623542880928	0.4972196648085244	0.3454429412551176	0.6379630075765408	0
32	DN756_15560		major capsid protein	CDS	0.34071196218507616	0.5844477660041996	0.506773145636422	0.5343380451534979	0
33	DN756_15615		hypothetical protein	CDS	0.38298710683698994	0.5553515367574091	0.3409137814275333	0.6547391390856333	0
34	DN756_15620		hypothetical protein	CDS	0.36789713899833887	0.5612419197182377	0.2674481611005863	0.6914699442432325	0
35	DN756_05260	tcdA	tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA	CDS	0.4366754472902332	0.5400461816263322	0.4871578505073208	0.5294732326886602	0
36	DN756_15625		hypothetical protein	CDS	0.45313785886973373	0.7176906497893883	0.3855069347678027	0.36189862573623005	0
37	DN756_15630		hypothetical protein	CDS	0.4158447850530137	0.6108761261317128	0.3719597228827214	0.5617378728726894	0
38	DN756_05065		prepilin peptidase	CDS	0.3111071094088095	0.6603871460821163	0.42349442239246843	0.5364267498617887	0
39	DN756_05060		hypothetical protein	CDS	0.23142047562845902	0.7019720679521726	0.24510665594609146	0.6273774832473448	0
40	DN756_05055	gspL	type II secretion system protein GspL	CDS	0.4630154955352327	0.5999671881167025	0.42126946605594545	0.4981847659719622	0
41	DN756_15940		YbaB/EbfC family nucleoid-associated protein	CDS	0.4597695809574363	0.5410266139027028	0.4489644623595822	0.5425246971460108	0
42	DN756_04895		DUF2264 domain-containing protein	CDS	0.4446316406501712	0.5665996409242126	0.3487264232420818	0.5997144593638501	0
43	DN756_04890		tagatose bisphosphate family class II aldolase	CDS	0.3996332448118157	0.5761284498682775	0.39183479356934653	0.5956800932060956	0
44	DN756_04885		DJ-1 family protein	CDS	0.4863614947981469	0.5658698695999445	0.43781291513590515	0.501561201048142	0
45	DN756_16050	amtB	ammonium transporter AmtB	CDS	0.41910189182554874	0.47303113257179624	0.45343823169462305	0.6284814411927715	0
46	DN756_04875		LacI family transcriptional regulator	CDS	0.43009897269825603	0.586442523316544	0.42597826406379596	0.538184502819641	0
47	DN756_04870		MFS transporter	CDS	0.4406447590440364	0.5778578066940382	0.4569989198295205	0.5128981759028105	0
48	DN756_04865		glycoside hydrolase family 31 protein	CDS	0.49416553508671296	0.5098734731999208	0.41233627517782623	0.5707961645210907	0
49	DN756_16055		P-II family nitrogen regulator	CDS	0.42754178115446323	0.4427154152924562	0.3749623440251598	0.6932635335807409	0
50	DN756_16060		SmdB family multidrug efflux ABC transporter permease/ATP-binding protein	CDS	0.4543136082570061	0.5552450258372164	0.445545879106539	0.535528688537514	0
51	DN756_04850		PTS sugar transporter	CDS	0.5545799467353486	0.5809324578051924	0.3265415630106597	0.4983263687323716	0
52	DN756_04845		beta-galactosidase	CDS	0.3191065345192697	0.5724467620618806	0.2577215085942575	0.7099685544021446	0
53	DN756_04840		galactosidase	CDS	0.37060912502686777	0.5470339026625332	0.2593127547449342	0.704386031243672	0
54	DN756_04835		sugar ABC transporter permease	CDS	0.4482213702592138	0.5154708418343333	0.28882690509950804	0.6707953736812713	0
55	DN756_04830		sugar ABC transporter permease	CDS	0.38626990021356067	0.5315949642566918	0.32665887642400165	0.6793352166782913	0
56	DN756_04825		extracellular solute-binding protein	CDS	0.4664039453434346	0.4693263538553213	0.30660032284685707	0.6842487671710863	0
57	DN756_04820		ABC transporter ATP-binding protein	CDS	0.48433766035558834	0.5227854918318726	0.4081874748339155	0.5705219940371217	0
58	DN756_16100		ComEA family DNA-binding protein	CDS	0.34931451423141147	0.6458607823829826	0.2753689784814023	0.6204958868655164	0
59	DN756_04900		arylsulfatase	CDS	0.4204779548156234	0.5493246613752699	0.3510870273186919	0.6310139500577935	0
60	DN756_05360		elongation factor Ts	CDS	0.5078512610134528	0.552370003156847	0.404174728572394	0.5230843766382077	0
61	DN756_04905		anaerobic sulfatase maturase	CDS	0.43163449945059884	0.5492693592862459	0.3202135051572562	0.6398891630182618	0
62	DN756_04915	kduD	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD	CDS	0.3791317131590809	0.5047170221810642	0.3040818029342326	0.713480293156024	0
63	DN756_15970	mscK	mechanosensitive channel MscK	CDS	0.4636618528994507	0.5374975301081981	0.4410774518843806	0.5491491352379756	0
64	DN756_15980	acrR	DNA-binding transcriptional repressor AcrR	CDS	0.48006422713628116	0.5471180275989738	0.43420809402952865	0.5307198251238572	0
65	DN756_04990		twin-arginine translocation signal domain-containing protein	CDS	0.4439778253833301	0.5410940115029156	0.3533610517684682	0.6206745752619918	0
66	DN756_15990		multidrug efflux RND transporter permease subunit	CDS	0.4309100352002945	0.5033267914302448	0.42277230170584007	0.6182574411218693	0
67	DN756_04980		hypothetical protein	CDS	0.42825333549305566	0.4096724508844901	0.33437584191050246	0.7327757910657325	0
68	DN756_04975		hypothetical protein	CDS	0.4060108288996254	0.5622042504995572	0.34071659092600565	0.6348179205128281	0
69	DN756_04970		autotransporter outer membrane beta-barrel domain-containing protein	CDS	0.32617907352513154	0.5446744641977522	0.2519705635443296	0.7303750920946932	0
70	DN756_16015		hypothetical protein	CDS	0.36357363500970896	0.6233678136949714	0.544008298358074	0.4281141811392508	0
71	DN756_04960		sulfatase	CDS	0.40407194394691276	0.5561813908716338	0.2783743162803023	0.6707427708134709	0
72	DN756_04955		DeoR/GlpR transcriptional regulator	CDS	0.33564345786737676	0.6102614453383425	0.47317445314633927	0.5394723110726355	0
73	DN756_04950	kbaZ	tagatose-bisphosphate aldolase subunit KbaZ	CDS	0.45608516942297433	0.5524649810883377	0.382101130923971	0.5837529345965652	0
74	DN756_04945		SIS domain-containing protein	CDS	0.46794197909946916	0.5184776880234355	0.3157056281152511	0.642293661493479	0
75	DN756_04940		PTS system mannose/fructose/N-acetylgalactosamine-transporter subunit IIB	CDS	0.4757750196062415	0.5428328037506736	0.3021641803021279	0.6226294933852768	0
76	DN756_04935		PTS mannose/fructose/sorbose/N-acetylgalactosamine transporter subunit IIC	CDS	0.43340087512132586	0.519067275607231	0.3358712739212305	0.6556853911688789	0
77	DN756_04930		PTS mannose/fructose/sorbose transporter family subunit IID	CDS	0.4285155900764622	0.5295633633634999	0.2998446859717511	0.667854922523643	0
78	DN756_04925		PTS sugar transporter subunit IIA	CDS	0.4284678062951278	0.49138913653642907	0.3074358064659691	0.6931343883874489	0
79	DN756_04920	nagA	N-acetylglucosamine-6-phosphate deacetylase	CDS	0.409418520204498	0.5218916227493333	0.3049367756246922	0.6833880100566901	0
80	DN756_04910		glycoside hydrolase family 105 protein	CDS	0.41188151211545593	0.5412092513115176	0.37727939592366394	0.628574914933604	0
81	DN756_05365		UMP kinase	CDS	0.5052204361179665	0.5662329662639314	0.3735851334349367	0.5334479233450271	0
82	DN756_05370		ribosome recycling factor	CDS	0.4731663775292294	0.5420889599971069	0.388753160756811	0.5754338525206096	0
